Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.8181,0.0278,0.2950,0.0150,0.6379,0.0259,0.5484,0.0264,0.9905,0.0149,0.7173,0.0273,1.0000,0.0000,BR_LR-Subset
0.8181,0.0278,0.2950,0.0150,0.6379,0.0259,0.5484,0.0264,0.9905,0.0149,0.7173,0.0273,1.0000,0.0000,BR_LR-Hamming
0.8181,0.0278,0.2950,0.0150,0.6379,0.0259,0.5484,0.0264,0.9905,0.0149,0.7173,0.0273,1.0000,0.0000,BR_LR-F1
